DEPTH,VCL
3434.4011,0.6992
3434.5537,0.7232
3434.7061,0.7471
3434.8584,0.7894
3435.0107,0.8161
3435.1633,0.8219
3435.3157,0.8104
3435.468,0.8279
3435.6204,0.8633
3435.7729,0.916
3435.9253,0.8961
3436.0776,0.8677
3436.23,0.8468
3436.3823,0.8655
3436.5349,0.869
3436.6873,0.8604
3436.8396,0.8493
3436.9919,0.856
3437.1445,0.8629
3437.2969,0.8683
3437.4492,0.8412
3437.6016,0.8222
3437.7542,0.7615
3437.9065,0.6909
3438.0588,0.6238
3438.2112,0.5645
3438.3635,0.5246
3438.5161,0.5289
3438.6685,0.614
3438.8208,0.7264
3438.9731,0.8045
3439.1257,0.8414
3439.2781,0.8161
3439.4304,0.7804
3439.5828,0.7775
3439.7354,0.8073
3439.8877,0.8125
3440.04,0.7837
3440.1924,0.7326
3440.3447,0.709
3440.4973,0.7015
3440.6497,0.7108
3440.802,0.7203
3440.9543,0.7423
3441.1069,0.7757
3441.2593,0.7819
3441.4116,0.7582
3441.564,0.7325
3441.7166,0.7421
3441.8689,0.7614
3442.0212,0.8038
3442.1736,0.7881
3442.3259,0.7679
3442.4785,0.7486
3442.6309,0.7519
3442.7832,0.7537
3442.9355,0.753
3443.0881,0.7707
3443.2405,0.7816
3443.3928,0.7586
3443.5452,0.7522
3443.6978,0.7959
3443.8501,0.857
3444.0024,0.8681
3444.1548,0.8307
3444.3071,0.7848
3444.4597,0.7746
3444.6121,0.7694
3444.7644,0.8085
3444.9167,0.8044
3445.0693,0.7981
3445.2217,0.7528
3445.374,0.6913
3445.5264,0.6171
3445.679,0.5844
3445.8313,0.583
3445.9836,0.5819
3446.136,0.5705
3446.2883,0.5792
3446.4409,0.5787
3446.5933,0.545
3446.7456,0.5096
3446.8979,0.5444
3447.0505,0.6389
3447.2029,0.6992
3447.3552,0.7162
3447.5076,0.724
3447.6602,0.7484
3447.8125,0.7639
3447.9648,0.7579
3448.1172,0.7433
3448.2695,0.7145
3448.4221,0.7178
3448.5745,0.7305
3448.7268,0.7662
3448.8792,0.823
3449.0317,0.8645
3449.1841,0.8738
3449.3364,0.8411
3449.4888,0.8225
3449.6414,0.8269
3449.7937,0.8551
3449.946,0.8879
3450.0984,0.9252
3450.2507,0.9681
3450.4033,0.978
3450.5557,0.9614
3450.708,0.9329
3450.8604,0.9211
3451.0129,0.893
3451.1653,0.8438
3451.3176,0.8248
3451.47,0.8477
3451.6226,0.9101
3451.7749,0.9744
3451.9272,1
3452.0796,1
3452.2319,1
3452.3845,0.9903
3452.5369,0.9999
3452.6892,1
3452.8416,1
3452.9941,1
3453.1465,1
3453.2988,0.992
3453.4512,0.9619
3453.6038,0.97
3453.7561,0.987
3453.9084,0.9997
3454.0608,1
3454.2131,1
3454.3657,0.9214
3454.5181,0.7471
3454.6704,0.6248
3454.8228,0.6373
3454.9753,0.6767
3455.1277,0.7215
3455.28,0.8004
3455.4324,0.848
3455.585,0.7963
3455.7373,0.649
3455.8896,0.5053
3456.042,0.438
3456.1943,0.4248
3456.3469,0.4426
3456.4993,0.5358
3456.6516,0.689
3456.804,0.8585
3456.9565,0.9422
3457.1089,0.9725
3457.2612,0.9498
3457.4136,0.9424
3457.5662,0.8818
3457.7185,0.8116
3457.8708,0.7595
3458.0232,0.7593
3458.1755,0.7752
3458.3281,0.7979
3458.4805,0.8485
3458.6328,0.9213
3458.7852,0.9324
3458.9377,0.8929
3459.0901,0.8104
3459.2424,0.7641
3459.3948,0.731
3459.5474,0.711
3459.6997,0.715
3459.8521,0.7585
3460.0044,0.8244
3460.1567,0.8584
3460.3093,0.8409
3460.4617,0.817
3460.614,0.798
3460.7664,0.7875
3460.9189,0.8039
3461.0713,0.8423
3461.2236,0.8713
3461.376,0.9001
3461.5283,0.9283
3461.6809,0.9863
3461.8333,1
3461.9856,1
3462.1379,1
3462.2905,0.9858
3462.4429,0.8943
3462.5952,0.8099
3462.7476,0.7242
3462.9001,0.646
3463.0525,0.5897
3463.2048,0.5642
3463.3572,0.5851
